ce,ganguli,subparva,similarity,note,first_words_ganguli
3.203,3.211;3.212,Markandeya-Samasya Parva,0.24,,"Markandeya continued, ""O Bharata, the fowler having expounded these ab"
3.204,3.213,Markandeya-Samasya Parva,0.05,,"""Markandeya said, 'When, O Yudhishthira, all this mystery of salvation"
3.205,3.214,Markandeya-Samasya Parva,0.51,,"""Markandeya continued, 'The virtuous fowler, having introduced his (bo"
3.206,3.215,Markandeya-Samasya Parva,0.17,,"""The fowler continued, 'Thus cursed by that rishi, I sought to propiti"
3.207,3.216,Markandeya-Samasya Parva,0.44,,"Vaisampayana continued, ""The virtuous king Yudhishthira, having listen"
3.208,3.217,Markandeya-Samasya Parva,0.41,,"Markandeya continued, 'O ornament of Kuru's race, he (Angiras) who was"
3.209,3.218,Markandeya-Samasya Parva,0.18,,"""Markandeya continued, 'Vrishaspati had a wife (called Tara) belonging"
3.210,3.219,Markandeya-Samasya Parva,0.45,,"""Markandeya continued, 'He (Uktha) performed a severe penance lasting "
3.211,3.220,Markandeya-Samasya Parva,0.24,,"""Markandeya continued, 'The fire called Bharata was bound by severe ru"
3.212,3.221,Markandeya-Samasya Parva,0.52,,"Markandeya continued, ""Mudita, the favourite wife of the fire Swaha, u"
3.213,3.222;3.223,Markandeya-Samasya Parva,0.44,,"""Markandeya continued, 'O sinless scion of Kuru's race, I have describ"
3.214,3.224,Markandeya-Samasya Parva,0.30,,"""Markandeya continued, 'O lord of men, the beautiful Siva endowed with"
3.215,3.225,Markandeya-Samasya Parva,0.47,,"""Markandeya continued, 'When that powerful, high-souled, and mighty be"
3.216,3.226,Markandeya-Samasya Parva,0.41,,"""Markandeya continued, The planets with their satellites, the Rishis a"
3.217,3.227,Markandeya-Samasya Parva,0.61,,"""Markandeya continued, 'Now hear of those terrible and curious-looking"
3.218,3.228,Markandeya-Samasya Parva,0.41,,"""Markandeya continued, 'Skanda was adorned with a golden amulet and wr"
3.219,3.229,Markandeya-Samasya Parva,0.51,,"""Markandeya continued, 'Those six ladies, the wives of the seven Rishi"
3.220,3.229,Markandeya-Samasya Parva,0.21,merged,"""Markandeya continued, 'Those six ladies, the wives of the seven Rishi"
3.221,3.230,Markandeya-Samasya Parva,0.43,,"Markandeya continued, ""When Skanda had bestowed these powers, Swaha ap"
3.222,3.231,Markandeya-Samasya Parva,0.29,,"(Draupadi-Satyabhama Samvada) Vaisampayana said, ""After those Brahmana"
3.223,3.232,Markandeya-Samasya Parva,0.34,,"""Draupadi said, 'I shall now indicate to thee, for attracting the hear"
3.224,3.233,Markandeya-Samasya Parva,0.72,,"Vaisampayana said, ""Then Kesava, the slayer of Madhu, also called Jana"
3.225,3.234,Ghosha-yatra Parva,0.25,,"Janamejaya said, ""While those foremost of men--the sons of Pritha--wer"
3.226,3.235,Ghosha-yatra Parva,0.35,,"Vaisampayana said, ""Hearing those words of Dhritarashtra, Sakuni, when"
3.227,3.236,Ghosha-yatra Parva,0.26,,"Vaisampayana said, ""Having heard these words of Karna, king Duryodhana"
3.228,3.237,Ghosha-yatra Parva,0.36,,"Vaisampayana said, ""They then all saw king Dhritarashtra, O Janamejaya"
3.229,3.238,Ghosha-yatra Parva,0.33,,"Vaisampayana said, ""King Duryodhana then moving from forest to forest,"
3.230,3.239,Ghosha-yatra Parva,0.54,,"Vaisampayana said, ""Those soldiers then, O king, all went back to Dury"
3.231,3.240,Ghosha-yatra Parva,0.36,,"Vaisampayana said, ""After that great warrior Karna had been routed by "
3.232,3.241,Ghosha-yatra Parva,0.37,,"""Yudhishthira said, 'O child, why dost thou use language such as this,"
3.233,3.242,Ghosha-yatra Parva,0.34,,"Vaisampayana said, ""Hearing the words of Yudhishthira, those bulls amo"
3.234,3.243,Ghosha-yatra Parva,0.45,,"Vaisampayana said, ""Then those Gandharvas decked in golden garlands an"
3.235,3.244,Ghosha-yatra Parva,0.59,,"Vaisampayana said, ""Then that mighty bowman of blazing splendour, Arju"
3.236,3.245,Ghosha-yatra Parva,0.20,,"Janamejaya said, ""After his defeat and capture by the foe and his subs"
3.237,3.246,Ghosha-yatra Parva,0.41,,"""Duryodhana said, 'O Radheya, thou knowest not what hath happened. The"
3.238,3.247;3.248,Ghosha-yatra Parva,0.28,,"Duryodhana said, ""That slayer of hostile heroes, Arjuna, then approach"
3.239,3.249,Ghosha-yatra Parva,0.29,,"Vaisampayana said, ""Beholding king Duryodhana, incapable of putting up"
3.240,3.250,Ghosha-yatra Parva,0.56,,"""The Danavas said, 'O Suyodhana, O great king? O perpetuator of the ra"
3.241,3.251;3.252;3.253,Ghosha-yatra Parva,0.39,,"Janamejaya said, ""When the high-souled sons of Pritha were living in t"
3.242,3.254,Ghosha-yatra Parva,0.47,,"Vaisampayana continued, ""Then all the artisans, the principal counsell"
3.243,3.255,Ghosha-yatra Parva,0.50,,"Vaisampayana said, ""While, O great king, Duryodhana was entering (the "
3.244,3.256,Ghosha-yatra Parva,0.37,,"Janamejaya said, 'After having delivered Duryodhana, what did the migh"
3.245,3.257,Ghosha-yatra Parva,0.39,,"Vaisampayana continued, ""Dwelling in the woods, O bull of the Bharata "
3.246,3.258;3.259;3.260,Ghosha-yatra Parva,0.43,,"Yudhishthira said, ""Why did that high-souled one give away a drona of "
3.247,3.261,Draupadi-harana Parva,0.05,,"Vaisampayana said, ""One day, having previously ascertained that the Pa"
3.248,3.262,Draupadi-harana Parva,0.44,,"Vaisampayana said, ""These great warriors of the race of Bharata sojour"
3.249,3.263,Draupadi-harana Parva,0.54,,"Kotika said, ""Excellent lady, who art thou that standest alone, leanin"
3.250,3.264,Draupadi-harana Parva,0.40,,"Vaisampayana continued, ""The princess Draupadi, thus questioned by tha"
3.251,3.265,Draupadi-harana Parva,0.42,,"Vaisampayana said, ""O Bharata, Kotikakhya related to those princes who"
3.252,3.266,Draupadi-harana Parva,0.53,,"Vaisampayana said, ""The daughter of Drupada, though naturally handsome"
3.253,3.267,Draupadi-harana Parva,0.34,,"Vaisampayana said, ""Meanwhile those foremost of bowmen on the face of "
3.254,3.268,Draupadi-harana Parva,0.24,,"Vaisampayana said, ""The hostile Kshatriyas, incensed at sight of Bhima"
3.255,3.269,Draupadi-harana Parva,0.54,,"Vaisampayana said, ""Meanwhile, the king of Sindhu was giving orders to"
3.256,3.270,Draupadi-harana Parva,0.18,,"Vaisampayana said, ""Jayadratha flying for his life upon beholding thos"
3.257,3.271,Draupadi-harana Parva,0.29,,"Janamejaya said, ""What did those tigers among men, the Pandavas, do, a"
3.258,3.272,Draupadi-harana Parva,0.65,,"""Markandeya said, 'O bull of the Bharata race, even Rama suffered unpa"
3.259,3.273,Draupadi-harana Parva,0.63,,"Markandeya said, ""The Muni named Visrava, who was begotten of half the"
3.260,3.274,Draupadi-harana Parva,0.55,,"""Markandeya said, 'Then the Brahmarshis, the Siddhas and the Devarshis"
3.261,3.275,Draupadi-harana Parva,0.60,,"""Yudhishthira said, 'O adorable one, thou hast described to me in deta"
3.262,3.276,Draupadi-harana Parva,0.58,,"""Markandeya said, 'Beholding Ravana come, Maricha received him with a "
3.263,3.277,Draupadi-harana Parva,0.55,,"""Markandeya said, 'That heroic king of the vultures, Jatayu, having Sa"
3.264,3.278,Draupadi-harana Parva,0.54,,"""Markandeya said, 'Afflicted with grief at the abduction of Sita, Rama"
3.265,3.279,Draupadi-harana Parva,0.32,,"""Markandeya said, 'And while the chaste Sita was dwelling there afflic"
3.266,3.280,Draupadi-harana Parva,0.56,,"""Markandeya said, 'Meanwhile the illustrious descendant of Raghu, alon"
3.267,3.281,Draupadi-harana Parva,0.32,,"""Markandeya said, 'It was on the breast of that very hill where Rama w"
3.268,3.282,Draupadi-harana Parva,0.48,,"""Markandeya said, 'Having quartered his army in those groves abounding"
3.269,3.283,Draupadi-harana Parva,0.52,,"""Markandeya said, 'And while those troops (thus withdrawn) were reposi"
3.270,3.284,Draupadi-harana Parva,0.71,,"""Markandeya said, ""Then Prahasta, suddenly advancing up to Vibhishana "
3.271,3.285,Draupadi-harana Parva,0.60,,"""Markandeya said, ""Then Kumbhakarna set out from the city, accompanied"
3.272,3.286,Draupadi-harana Parva,0.61,,"""Markandeya said, 'Learning that Kumbhakarna had with his followers, f"
3.273,3.287,Draupadi-harana Parva,0.62,,"""Markandeya said, 'Beholding both the brothers Rama and Lakshmana pros"
3.274,3.288,Draupadi-harana Parva,0.53,,"""Markandeya said, The Ten-necked (Ravana), excited to fury at the deat"
3.275,3.289,Draupadi-harana Parva,0.47,,"""Markandeya said, 'Having slain Ravana, that wretched king of the Raks"
3.276,3.290,Draupadi-harana Parva,0.40,,"""Markandeya said, 'It was thus, O mighty-armed one, that Rama of immea"
3.277,3.291,Pativrata-mahatmya Parva,0.25,,"""Yudhishthira said, 'O mighty sage, I do not so much grieve for myself"
3.278,3.292,Pativrata-mahatmya Parva,0.53,,"""Markandeya continued, 'On one occasion, O Bharata, when that king, th"
3.279,3.293,Pativrata-mahatmya Parva,0.58,,"""Markandeya said, 'Having pondered over these words (of Narada) about "
3.280,3.294,Pativrata-mahatmya Parva,0.56,,"""Markandeya said, 'At length, O king, after a long time had passed awa"
3.281,3.295,Pativrata-mahatmya Parva,0.46,,"""Markandeya said, The powerful Satyavan then, accompanied by his wife,"
3.282,3.296,Pativrata-mahatmya Parva,0.54,,"""Markandeya said, 'Meanwhile the mighty Dyumatsena, having regained hi"
3.283,3.297,Pativrata-mahatmya Parva,0.38,,"""Markandeya continued, 'When the night had passed away, and the solar "
3.284,3.298,Pativrata-mahatmya Parva,0.23,,"Janamejaya said,--""What, O Brahmana, was that great fear entertained b"
3.285,3.299,Pativrata-mahatmya Parva,0.23,,"""Surya said, 'Never do, O Karna, anything that is harmful to thy self "
3.286,3.300,Pativrata-mahatmya Parva,0.42,,"""Karna said, 'As thou, O lord of splendour, knowest me for thy worship"
3.287,3.301,Pativrata-mahatmya Parva,0.51,,"Janamejaya said, ""What was that secret which was not revealed to Karna"
3.288,3.302,Pativrata-mahatmya Parva,0.23,,"""Kunti said, 'According to thy promise, I will, O king, with concentra"
3.289,3.303,Pativrata-mahatmya Parva,0.32,,"Vaisampayana said, ""And that maiden of rigid vows. O mighty monarch, b"
3.290,3.304,Pativrata-mahatmya Parva,0.19,,"Vaisampayana said, ""When that foremost of Brahmanas had gone away on s"
3.291,3.305,Pativrata-mahatmya Parva,0.38,,"Vaisampayana said, ""Although that noble girl addressed him in various "
3.292,3.306,Pativrata-mahatmya Parva,0.42,,"Vaisampayana said, ""It was, O lord of earth, on the first day of the l"
3.293,3.307,Pativrata-mahatmya Parva,0.58,,"Vaisampayana said, ""And it came to pass that at this time a Suta named"
3.294,3.308,Pativrata-mahatmya Parva,0.32,,"Vaisampayana said, ""And when the king of the celestials presented hims"
3.295,3.309,Aranya Parva,0.41,,"Janamejaya said, ""Having felt great affliction on account of the abduc"
3.296,3.310,Aranya Parva,0.49,,"Yudhishthira said, ""There is no limit to calamities. Nor is it possibl"
3.297,3.311,Aranya Parva,0.31,,"Vaisampayana said, ""Yudhishthira saw his brothers, each possessed of t"
3.298,3.312,Aranya Parva,0.34,,"Vaisampayana continued,--""Then agreeable to the words of the Yaksha th"
3.299,3.313,Aranya Parva,0.30,,"Vaisampayana continued,--""Commanded by the Lord of justice to thus spe"
4.1,4.1,Pandava-Pravesa Parva,0.28,,"OM! Having bowed down to Narayana, and Nara, the most exalted of male "
4.2,4.2,Pandava-Pravesa Parva,0.24,,"Bhima said, ""I intend to present myself before the lord of Virata as a"
4.3,4.3,Pandava-Pravesa Parva,0.24,,"Yudhishthira said, ""Tender, possessed of a graceful presence, and dese"
4.4,4.4,Pandava-Pravesa Parva,0.35,,"Yudhishthira said, ""Ye have already said what offices ye will respecti"
4.5,4.5;4.6,Pandava-Pravesa Parva,0.27,,"Vaisampayana said, ""Girding their waists with swords, and equipped wit"
4.6,4.7,Pandava-Pravesa Parva,0.11,,"Vaisampayana said, ""Then tying up in his cloth dice made of gold and s"
4.7,4.8,Pandava-Pravesa Parva,0.04,,"Vaisampayana said, ""Then another endued with the dreadful strength and"
4.8,4.9,Pandava-Pravesa Parva,0.38,,"Vaisampayana said, ""Binding her black, soft, fine, long and faultless "
4.9,4.10,Pandava-Pravesa Parva,0.29,,"""Vaisampayana said, 'Then clad in a cowherd's dress, and speaking the "
4.10,4.11,Pandava-Pravesa Parva,0.04,,"""Vaisampayana said, 'Next appeared at the gate of the ramparts another"
4.11,4.12,Pandava-Pravesa Parva,0.16,,"""Vaisampayana said, 'After a while, another powerful son of Pandu was "
4.12,4.13,Samayapalana Parva,0.15,,"""Janamejaya said, 'While living thus disguised in the city of the Mats"
4.13,4.14,Kichaka-badha Parva,0.17,,"""Vaisampayana said, 'Living in such disguise, those mighty warriors, t"
4.14,4.15,Kichaka-badha Parva,0.29,,"""Vaisampayana said, 'Rejected thus by the princess, Kichaka, afflicted"
4.15,4.16,Kichaka-badha Parva,0.32,,"""Kichaka said, 'O thou of tresses ending in beautiful curls, thou art "
4.16,4.17,Kichaka-badha Parva,0.43,,"""Vaisampayana said, 'Thus insulted by the Suta's son, that illustrious"
4.17,4.18,Kichaka-badha Parva,0.08,,"""Draupadi said, 'What grief hath she not who hath Yudhishthira for her"
4.18,4.19,Kichaka-badha Parva,0.23,,"""Draupadi said, 'This O Bharata, that I am going to tell thee is anoth"
4.19,4.20,Kichaka-badha Parva,0.17,,"""Draupadi said, 'Alas, on account of that desperate gambler, I am now "
4.20,4.21,Kichaka-badha Parva,0.39,,"""Bhima said, 'Fie on the might of my arms and fie on the Gandiva of Fa"
4.21,4.22,Kichaka-badha Parva,0.31,,"""Bhima said, 'I will, O timid one, do even as thou sayest. I will pres"
4.22,4.22,Kichaka-badha Parva,0.36,,"""Vaisampayana said, 'Then all the relatives of Kichaka, arriving at th"
4.23,4.24,Kichaka-badha Parva,0.29,,"""Vaisampayana said, 'And beholding the Sutas slain, the citizens went "
4.24,4.25,Kichaka-badha Parva,0.29,,"""Vaisampayana said, 'At the slaughter of Kichaka and brothers, people,"
4.25,4.26,Go-harana Parva,0.05,,"""Vaisampayana said, 'Having listened to these words of his spies, king"
4.26,4.27,Go-harana Parva,0.07,,"""Vaisampayana said, ""Endued with mighty energy and possessed of great "
4.27,4.28,Go-harana Parva,0.10,,"""Vaisampayana said, 'Then that grandsire of the Bharatas, Bhishma the "
4.28,4.29,Go-harana Parva,0.09,,"""Vaisampayana said, 'Then Saradwata's son, Kripa said, 'What the aged "
4.29,4.30,Go-harana Parva,0.33,,"""Vaisampayana said, 'Discomfited before, O monarch, many a time and of"
4.30,4.31,Go-harana Parva,0.32,,"""Vaisampayana said, 'O mighty king, entering into king Virata's servic"
4.31,4.32,Go-harana Parva,0.39,,"""Vaisampayana said, 'Marching out of the city, those heroic smiters th"
4.32,4.33;4.34,Go-harana Parva,0.35,,"""Vaisampayana said, 'Then, O Bharata, when the world was enveloped in "
4.33,4.35,Go-harana Parva,0.17,,"""Vaisampayana said, 'When the king of the Matsyas, anxious of recoveri"
4.34,4.36,Go-harana Parva,0.21,,"""Uttara said, 'Firm as I am in the use of the bow, I would set out thi"
4.35,4.37,Go-harana Parva,0.08,,"""Vaisampayana said, 'Thus despatched by her elder brother, the far-fam"
4.36,4.38,Go-harana Parva,0.19,,"'Vaisampayana said, 'Having issued forth from the city, the dauntless "
4.37,4.39,Go-harana Parva,0.11,,"""Vaisampayana said, 'Beholding that bull among men seated on the car i"
4.38,4.40;4.41;4.42;4.43,Go-harana Parva,0.36,,"""Vaisampayana said, 'Having reached that Sami tree, and having ascerta"
4.39,4.44,Go-harana Parva,0.44,,"""Uttara said, 'Indeed, these weapons adorned with gold, belonging to t"
4.40,4.45,Go-harana Parva,0.20,,"""Uttara said, 'O hero, mounting on this large car with myself as drive"
4.41,4.46,Go-harana Parva,0.29,,"""Vaisampayana said, 'Making Uttara his charioteer, and circumambulatin"
4.42,4.47,Go-harana Parva,0.20,,"""Vaisampayana said, 'King Duryodhana then, on the field of battle said"
4.43,4.48,Go-harana Parva,0.05,,"""Karna said, 'I behold all these blessed ones, looking as if alarmed a"
4.44,4.49,Go-harana Parva,0.28,,"""Kripa said, 'O Radheya, thy crooked heart always inclineth to war. Th"
4.45,4.50,Go-harana Parva,0.36,,"""Aswatthaman said, 'The kine, O Karna, have not yet been won, nor have"
4.46,4.51,Go-harana Parva,0.23,,"""Bhishma said, 'Drona's son observeth well, and Kripa, too observeth r"
4.47,4.52,Go-harana Parva,0.26,,"""Bhishma said, 'The wheel of time revolves with its divisions, viz., w"
4.48,4.53,Go-harana Parva,0.27,,"""Vaisampayana said, 'After the Kauravas, O Bharata, had taken their st"
4.49,4.54,Go-harana Parva,0.34,,"""Vaisampayana said, 'Having disorganised the hostile host by force and"
4.50,4.55,Go-harana Parva,0.09,,"""Vaisampayana said, 'After the son of Radha had fled from the field, o"
4.51,4.56,Go-harana Parva,0.38,,"""Vaisampayana said, 'And the ranks of those fierce bowmen, the Kurus, "
4.52,4.57,Go-harana Parva,0.37,,"""Vaisampayana said, 'Beholding the army of the Kurus arrayed in order "
4.53,4.58,Go-harana Parva,0.27,,"""Vaisampayana said, 'After Kripa had thus been taken away, the invinci"
4.54,4.59,Go-harana Parva,0.13,,"""Vaisampayana said, 'Then, O mighty king, Drona's son rushed to an enc"
4.55,4.60,Go-harana Parva,0.17,,"""Arjuna said, 'The time, O Karna, hath now come for making good thy lo"
4.56,4.61,Go-harana Parva,0.34,,"""Vaisampayana said, 'Having defeated Vikartana's son, Arjuna said unto"
4.57,4.62,Go-harana Parva,0.17,,"""Vaisampayana said, 'Then, O thou of the Bharata race, all the great c"
4.58,4.62,Go-harana Parva,0.11,merged,"""Vaisampayana said, 'Then, O thou of the Bharata race, all the great c"
4.59,4.63,Go-harana Parva,0.21,,"""Vaisampayana said, 'Then while a great havoc was being made among the"
4.60,4.64,Go-harana Parva,0.32,,"""Vaisampayana said, 'After Bhishma had fled, leaving the van of battle"
4.61,4.65,Go-harana Parva,0.28,,"""Vaisampayana said, 'Thus summoned to battle by the illustrious hero, "
4.62,4.66,Go-harana Parva,0.07,,"""Vaisampayana said, 'Having vanquished the Kurus in battle, that one w"
4.63,4.67,Go-harana Parva,0.15,,"""Vaisampayana said, 'Having speedily recovered his wealth Virata ownin"
4.64,4.68;4.69,Go-harana Parva,0.18,,"""Vaisampayana said, 'Then Bhuminjaya, the eldest son of the king, ente"
4.65,4.70,Go-harana Parva,0.12,,"""Vaisampayana said, 'Then, on the third day, attired in white robes af"
4.66,4.71,Go-harana Parva,0.28,,"""Virata said, 'If this one, indeed, be the Kuru king Yudhisthira the s"
4.67,4.72,Go-harana Parva,0.48,,"""Virata said, 'Why, O best among the Pandavas, dost thou not wish to a"
5.1,5.1,,0.25,,"OM! HAVING BOWED down to Narayana, and Nara the most exalted of male b"
5.2,5.2,,0.52,,"""Baladeva said, 'You have all listened to the speech of him who is the"
5.3,5.3,,0.28,,"""Satyaki said, 'Even as a man's heart is, so doth he speak! Thou art s"
5.4,5.4,,0.51,,"""Drupada said, 'O mighty-armed one, it will, without doubt, be even as"
5.5,5.5,,0.40,,"""Krishna said, 'These worlds are worthy of the chief of the Somaka tri"
5.6,5.6,,0.30,,"""Drupada said, 'Of beings those that are endowed with life are superio"
5.7,5.7,,0.41,,"""Vaisampayana said, 'Having despatched the priest to the city called a"
5.8,5.8,,0.39,,"""Vaisampayana said, 'O king, having learnt the news from the messenger"
5.9,5.9,,0.31,,"""Yudhishthira said, 'O foremost of monarchs, I wish to know how it was"
5.10,5.10,,0.34,,"""Indra said, This whole indestructible universe, O gods, hath been per"
5.11,5.11,,0.29,,"""Salya said, 'Then all the Rishis and the superior gods said, ""Let the"
5.12,5.12,,0.26,,"""Salya said, 'Seeing Nahusha enraged, the gods led by the saints spoke"
5.13,5.13,,0.26,,"""Salya said, 'Now then Nahusha, the king of the gods, looked at her an"
5.14,5.14,,0.20,,"""Salya said, 'Then the goddess of Divination stood near that chaste an"
5.15,5.15,,0.19,,"""Salya said, 'Thus addressed by Sachi, the illustrious god said to her"
5.16,5.16,,0.22,,"""Vrihaspati said, 'Thou art the mouth, O Agni, of all the gods. Thou a"
5.17,5.17,,0.48,,"""Salya said, 'Now when the great Indra, the intelligent chief of the g"
5.18,5.18,,0.64,,"""Salya said, ""Then Indra, glorified by the bands of Gandharvas and cel"
5.19,5.19,,0.52,,"""Vaisampayana said, 'Then Yuyudhana, the great hero of the Satwata rac"
5.20,5.20,,0.24,,"""Vaisampayana said, 'Then Drupada's priest, having approached the Kaur"
5.21,5.21,,0.24,,"""Vaisampayana said, 'Having heard his words, Bhishma, senior in wisdom"
5.22,5.22,,0.44,,"""Dhritarashtra said, 'They say, O Sanjaya, that the Pandavas have arri"
5.23,5.23,,0.41,,"""Vaisampayana said, 'Having beard these words of king Dhritarashtra Sa"
5.24,5.24,,0.21,,"""Sanjaya said, 'It is even so as thou hast said, O son of Pandu! Dost "
5.25,5.25,,0.30,,"""Yudhishthira said, 'Here are met the Pandavas and the Srinjayas, and "
5.26,5.26,,0.17,,"""Yudhishthira said, 'What words from me, O Sanjaya, hast thou heard, i"
5.27,5.27,,0.14,,"""Sanjaya said, 'O Pandava, the world hath heard thy conduct being righ"
5.28,5.28,,0.18,,"""Yudhishthira said, 'Without doubt, O Sanjaya, it is true that righteo"
5.29,5.29,,0.20,,"""Krishna said, 'I desire, O Sanjaya, that the sons of Pandu may not be"
5.30,5.30,,0.27,,"""Sanjaya said, 'I did thee farewell, O divine ruler of men. I will now"
5.31,5.31,,0.18,,"""Yudhishthira said, 'O Sanjaya, the righteous and the unrighteous, the"
5.32,5.32,,0.22,,"""Vaisampayana said, 'Dismissed with salutation by the Pandavas, Sanjay"
5.33,5.33,,0.11,,"""Vaisampayana said, 'King Dhritarashtra endued with great wisdom (then"
5.34,5.34,,0.02,,"""Dhritarashtra said, 'Tell me what may be done by a person that is sle"
5.35,5.35,,0.36,,"""Dhritarashtra said, 'O thou of great intelligence, tell me again word"
5.36,5.36,,0.17,,"""Vidura said, 'In this connection is cited the old story of the discou"
5.37,5.37,,0.12,,"""Vidura said, 'O son of Vichitravirya, Manu, the son of the Self-creat"
5.38,5.38,,0.11,,"""Vidura said, 'The heart of a young man, when an aged and venerable pe"
5.39,5.39,,0.06,,"""Dhritarashtra said, 'Man is not the disposer of either his prosperity"
5.40,5.40,,0.15,,"""Vidura said, 'Worshipped by the good and abandoning pride, that good "
5.41,5.41,Sanat-sujata Parva,0.38,,"""Dhritarashtra said, 'If there is anything still left unsaid by thee, "
5.42,5.42,Sanat-sujata Parva,0.11,,"""Vaisampayana said, 'Then the illustrious and wise king Dhritarashtra,"
5.43,5.43,Sanat-sujata Parva,0.12,,"""Dhritarashtra said, 'What is the object of asceticism (mauna)? Of the"
5.44,5.44,Sanat-sujata Parva,0.19,,"""Dhritarashtra said, 'Excellent, O Sanat-sujata, as this thy discourse"
5.45,5.45;5.46,Sanat-sujata Parva,0.16,,"""Sanat-sujata said, 'Sorrow, anger, covetousness, lust, ignorance, laz"
5.46,5.47,Sanat-sujata Parva,0.28,,"""Vaisampayana said, 'Thus conversing with Sanat-sujata and the learned"
5.47,5.48,Sanat-sujata Parva,0.41,,"""Dhritarashtra said, ""I ask thee, O Sanjaya, in the presence of my boy"
5.48,5.49,Sanat-sujata Parva,0.44,,"""Vaisampayana said, 'In the midst, O Bharata, of all those assembled k"
5.49,5.50,Sanat-sujata Parva,0.44,,"""Dhritarashtra said, 'What did that Pandava king, the son of Dharma, s"
5.50,5.51,Sanat-sujata Parva,0.23,,"""Dhritarashtra said, 'All these named by thee are, indeed, endued with"
5.51,5.52,Sanat-sujata Parva,0.19,,"""Dhritarashtra said, 'He whom we have never heard to speak a falsehood"
5.52,5.53,Sanat-sujata Parva,0.28,,"""Dhritarashtra said, 'Endued with great prowess and eager for victory,"
5.53,5.54,Sanat-sujata Parva,0.37,,"""Sanjaya said, It is even so, O great king, as thou, O Bharata, sayest"
5.54,5.55,Sanat-sujata Parva,0.48,,"""Duryodhana said, 'Fear not, O king. Nor shouldest thou grieve for us."
5.55,5.56,Sanat-sujata Parva,0.15,,"""Duryodhana said, 'Having obtained, O Sanjaya, an army numbering seven"
5.56,5.57,Sanat-sujata Parva,0.51,,"""Dhritarashtra said, 'Whom hast thou, O Sanjaya, seen to have, from af"
5.57,5.58,Sanat-sujata Parva,0.23,,"""Dhritarashtra said, Yudhishthira the son of Pandu is endued with Ksha"
5.58,5.59,Sanat-sujata Parva,0.37,,"Dhritarashtra said, 'Tell me, O thou of great wisdom, what high-souled"
5.59,5.60,Sanat-sujata Parva,0.30,,"""Vaisampayana said, 'Having heard these words of Sanjaya, the monarch "
5.60,5.61,Sanat-sujata Parva,0.34,,"""Vaisampayana said, 'Hearing these words of his father, the passionate"
5.61,5.62;5.63,Sanat-sujata Parva,0.22,,"""Vaisampayana said, 'Without much minding Dhritarashtra, the son of Vi"
5.62,5.64,Sanat-sujata Parva,0.16,,"""Vidura said, 'We have heard, O sire, from old men, that once on a tim"
5.63,5.65,Sanat-sujata Parva,0.37,,"""Dhritarashtra said, 'Consider, O Duryodhana, O dear son, what I tell "
5.64,5.66,Sanat-sujata Parva,0.46,,"""Vaisampayana said, 'Having addressed Suyodhana thus, the highly bless"
5.65,5.67,Sanat-sujata Parva,0.36,,"""Vaisampayana said, 'When Duryodhana, the son of Dhritarashtra, showed"
5.66,5.68,Sanat-sujata Parva,0.29,,"""Sanjaya said, 'Those adorable bowmen, Arjuna and Vasudeva, who are pe"
5.67,5.69,Sanat-sujata Parva,0.23,,"""Dhritarashtra said, 'How hast thou, O Sanjaya, been able to know Madh"
5.68,5.70,Sanat-sujata Parva,0.53,,"""Dhritarashtra said, 'I request thee, O Sanjaya, to tell me again of t"
5.69,5.71,Sanat-sujata Parva,0.20,,"""Dhritarashtra said, 'O Sanjaya, I envy those gifted with sight, who w"
5.70,5.72,Bhagwat Yana Parva,0.29,,"""Janamejaya said, 'When good Sanjaya (leaving the Pandava camp) went b"
5.71,5.73,Bhagwat Yana Parva,0.15,,"""The holy one said, 'I have heard Sanjaya's words and now I have heard"
5.72,5.74,Bhagwat Yana Parva,0.54,,"""Bhima said, 'Speak thou, O slayer of Madhu, in such a strain that the"
5.73,5.75,Bhagwat Yana Parva,0.08,,"""Vaisampayana said, 'Hearing these words from Bhima, that were fraught"
5.74,5.76,Bhagwat Yana Parva,0.17,,"""Vaisampayana said, 'Thus addressed by Vasudeva, the ever-wrathful Bhi"
5.75,5.77,Bhagwat Yana Parva,0.02,,"""The holy one said, It was only through affection that I said all this"
5.76,5.78,Bhagwat Yana Parva,0.25,,"""Arjuna said, 'O Janardana, Yudhishthira hath already said what should"
5.77,5.79,Bhagwat Yana Parva,0.15,,"""The holy one said, 'It shall be, O thou of mighty arms, what thou, O "
5.78,5.80,Bhagwat Yana Parva,0.30,,"""Nakula said, 'Much hath been said, O Madhava, by king Yudhishthira th"
5.79,5.81,Bhagwat Yana Parva,0.30,,"""Sahadeva said, 'What hath been said by the king is, indeed, eternal v"
5.80,5.82,Bhagwat Yana Parva,0.43,,"""Vaisampayana said, 'Hearing the peaceful words of the king that were "
5.81,5.83,Bhagwat Yana Parva,0.35,,"""Arjuna said, 'Thou art now, O Kesava, the best friend of all the Kuru"
5.82,5.84,Bhagwat Yana Parva,0.26,,"""Vaisampayana said, 'O smiter of foes, when Devaki's son of mighty arm"
5.83,5.85,Bhagwat Yana Parva,0.28,,"""Vaisampayana said, 'Meanwhile, understanding from his spies that the "
5.84,5.86,Bhagwat Yana Parva,0.44,,"""Dhritarashtra said, 'O Vidura, Janardana hath set out from Upaplavya."
5.85,5.87,Bhagwat Yana Parva,0.33,,"""Vidura said, 'O monarch, O best of men, thou art respected by three w"
